Gene	C2	C7	C3	C5	C12	C13	C14	C11	C4	C8	C6	C10	C9	C1
Foxs1	0.5533194423868313	0.3989808969072165	0.019158612704918036	0.0026682404580152673	0.0624055125	0.03550755392156863	0.0	0.0	0.0013956887661141803	0.0	0.0	0.0	0.0	0.0
Frmd4a	0.8909880164609053	1.0462130979381443	0.6764957090163934	0.6816765610687022	0.20816877083333332	0.3331206323529412	0.08039859420289855	0.24641345664739886	0.181065	0.2339387108108108	0.34299543402777777	0.1431097857142857	0.10403900342465754	0.16050207692307694
Frmd6	1.057627425925926	1.0429580670103094	0.6145812090163935	0.5528323091603053	0.37237129583333334	0.8246596519607843	0.14310402173913045	0.7967481676300578	0.4366864143646409	0.36297523243243246	0.20741480902777776	0.20498016326530613	0.14186023630136987	0.1401173663003663
Frs2	0.8148254691358024	0.7789785515463917	0.5698862602459016	0.6273014312977099	0.2430076	0.419361	0.1037763695652174	0.5288832196531792	0.3187081141804788	0.40267214594594597	0.36542205902777775	0.20421376530612245	0.2568807808219178	0.3906252637362638
Fscn1	2.6016012057613165	2.4708772783505153	2.382850590163934	2.316485446564885	1.5584951833333334	1.6822182450980392	1.5563251376811595	2.087185098265896	1.6147415727440146	1.604381927027027	1.7586784027777778	1.6528437346938776	1.5501339520547945	1.6512839963369963
Fst	1.8967527633744854	2.181041324742268	1.5622137459016394	1.3577451870229007	1.127985125	1.2455115637254903	0.17188191304347827	1.2377737630057803	0.47433046224677716	0.6357991405405405	0.4904218402777778	0.11141563265306123	0.0951038595890411	0.12167733699633701
Fstl1	4.602861878600823	4.453837886597938	4.015881819672131	3.9756320190839696	3.5714314083333334	5.570963617647059	3.7948057463768112	5.4428082254335255	5.595420108655617	3.847154202702703	3.590513347222222	3.632500285714286	1.6125252671232877	0.8536253809523809
Fth1	3.76995920781893	3.4946022319587633	4.301205266393443	4.742567744274809	4.644674470833333	4.844208632352942	3.6885020579710144	4.144925190751445	4.318664436464088	4.175254151351351	3.822025451388889	3.0278279030612243	3.073323582191781	3.6056915824175824
Ftl1	6.325641518518519	5.815529778350515	6.961579108606558	8.553832748091603	6.4649854625	4.9659070735294115	4.594023710144928	5.133107358381503	4.6131573462246775	7.441361462162162	6.840885517361111	4.443080443877551	6.2580635547945205	6.079470062271062
Ftsj3	0.7664727181069959	0.9126975103092783	1.0356429057377048	1.377659076335878	0.5102547958333333	0.392833818627451	0.3716347898550725	0.6940255202312139	0.57689317679558	0.9073133054054053	1.329594923611111	1.0758350612244898	1.307047756849315	1.578569608058608
Fubp1	1.15913379218107	1.4270273195876289	1.4172499262295082	1.7459062557251908	0.7285343	0.6923307892156862	0.7701326376811595	1.132723647398844	0.9040750957642726	1.317425464864865	1.748791611111111	1.508239387755102	1.6703445719178083	2.175572428571429
Fus	1.6710489465020575	1.9532560670103092	2.011105817622951	2.2849027671755726	1.3350849041666666	1.3936575539215688	1.7257122536231884	1.5496083526011561	1.490756023941068	1.7816629243243243	2.1838532743055556	2.4243632857142856	2.3814512671232877	2.5568363443223445
Fut4	0.027008308641975308	0.012401917525773194	0.004883991803278689	0.030793507633587788	0.0	0.0	0.0	0.009496647398843932	0.002706802946593002	0.01282455945945946	0.01567717361111111	0.0	0.021792328767123288	0.011774802197802197
Fxyd5	0.8698382510288066	0.7839902680412371	0.37209030327868853	0.2579624923664122	0.4845823458333333	0.31178451470588237	0.011781557971014493	0.04196931213872832	0.03756602025782689	0.16427227297297298	0.06538896527777777	0.011876163265306123	0.0445901404109589	0.015797003663003663
Fxyd6	0.09330370576131687	0.21505550515463917	0.09666900204918033	0.042815977099236645	0.1849226125	0.5919917009803921	0.909201920289855	0.7481111791907515	1.0967564640883978	0.3905867027027027	0.3466697847222222	1.0251303520408164	0.23184380479452055	0.4592357655677656
Fzd1	0.45276118518518516	0.42544222164948453	0.49980093237704915	0.29792912595419846	0.4656201208333333	1.4412616715686275	0.170086115942029	0.583739514450867	0.687747920810313	0.33968607567567566	0.10418528819444445	0.11017289285714285	0.03655643493150685	0.020877311355311352
G3bp1	1.2487110164609054	1.5379953453608248	1.8116418504098362	2.102711633587786	0.7828467375	0.8622090833333332	1.1091628695652176	1.4053642080924855	1.1306343222836095	1.5554719756756756	2.2683959756944443	1.9686247142857143	1.9666189828767124	2.5762273882783884
G3bp2	1.4564868621399176	1.5098703453608249	1.827060530737705	1.9979801755725193	0.8390285125	1.0881729215686275	1.215213347826087	1.9433459479768787	1.845200443830571	1.655592	1.9674976284722223	2.1005984795918367	1.8992259246575343	3.1394643516483516
G6pdx	0.8608089711934156	0.8402378402061855	1.4929346168032787	1.7630837709923666	0.6772854208333333	0.7677807401960784	0.6555518768115942	1.5942062369942198	0.9305977108655616	1.420570137837838	1.4487734270833335	0.8271139693877552	0.7352687671232876	0.9959595054945055
Gab1	0.1926846502057613	0.2083738505154639	0.22821655327868853	0.29545430916030535	0.06953970416666667	0.3933296960784314	0.25107304347826087	0.4863527456647399	0.4241772891344383	0.38697942702702703	0.26864315972222225	0.35082388265306125	0.35893168150684934	2.280705655677656
Gabarap	2.387077487654321	2.0994665824742267	1.8519415901639342	1.756905286259542	2.170361670833333	2.7642104705882353	1.8162806666666669	2.2835617861271675	2.3766285211786373	2.0932081432432432	1.3475150416666668	1.4344474846938775	1.1285872054794521	1.105322805860806
Gadd45a	0.18993349176954732	0.18493175257731959	0.22044043852459017	0.34748329770992364	0.187340225	0.28976761274509805	0.16182947826086955	0.33252134104046244	0.22819889318600367	0.49946064594594597	0.5488478368055555	0.2314081275510204	0.3587549143835616	0.7647423040293041
Gadd45g	1.3354980164609054	1.1810759381443299	0.9539364344262296	1.2581167061068703	0.6467753333333334	0.4309219362745098	0.8009487246376812	1.2240578265895954	0.8172781952117864	1.1949488837837838	0.5143074861111111	0.6778404897959184	0.24708582534246576	0.13678630402930403
Galnt18	0.8305291193415638	0.7190747989690721	0.2111929487704918	0.05652857251908397	0.31574430833333333	0.43236887254901957	0.06505545652173914	0.23581432947976877	0.27409575138121545	0.12961655675675676	0.04540675347222222	0.047222280612244906	0.06300850684931507	0.008625384615384615
Galnt2	1.4056934053497943	1.4469560463917526	1.403433893442623	1.4566667290076336	0.8929863791666667	1.1580180196078431	0.793525927536232	1.9478866184971098	1.4535793370165746	1.0049837108108108	0.9731530208333334	0.7112885663265306	0.49640252739726026	0.6780859304029304
Gapdh	1.7285469218106997	1.6406466546391754	2.0334351721311474	1.6048983053435115	1.5570209166666666	0.9474412549019608	0.9196074927536232	1.4305900115606938	1.0963340681399631	2.2755464	2.1013112534722223	1.580548862244898	2.4374866917808222	1.7356058754578754
Gar1	0.6145260843621398	0.7623002783505155	1.0501875286885247	1.1745388015267177	0.4208905333333333	0.43138210784313724	0.6207892536231884	0.7384153526011561	0.5528931160220995	0.8091122972972973	1.297603704861111	1.2373309846938776	1.2013925993150685	1.3528604652014653
Gars	1.6699872860082305	1.7388932216494846	1.6440374016393442	1.78770936259542	1.0066002875	0.8860263284313725	0.8779240072463769	1.1932881502890174	0.959027270718232	1.251487445945946	1.5796306527777777	1.4898056326530613	1.582708462328767	2.0384813223443223
